City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Yellandu,IN,2022-11-10 03:40:05,17.6,80.3333,77.09,61,32,4.63
143,Vila,PT,2022-11-10 03:40:06,42.0304,-8.1588,49.08,95,90,3.27
144,Nishihara,JP,2022-11-10 03:40:06,26.1842,127.7558,74.48,83,75,10.36
145,Petrolina,BR,2022-11-10 03:40:06,-9.3986,-40.5008,78.85,73,0,13.8
146,Zyryanka,RU,2022-11-10 03:40:06,65.75,150.85,0.07,97,100,6.04
147,Haapiti,PF,2022-11-10 03:40:07,-17.5667,-149.8667,80.33,79,54,12.15
148,Saskylakh,RU,2022-11-10 03:40:07,71.9167,114.0833,-13.07,96,97,6.4
149,Shingu,JP,2022-11-10 03:40:07,33.7333,135.9833,69.53,62,83,7.27
150,La Solana,ES,2022-11-10 03:40:07,38.9442,-3.2381,47.23,83,1,4.85
151,Longyearbyen,SJ,2022-11-10 03:40:08,78.2186,15.6401,22.84,68,20,10.36
152,Urucara,BR,2022-11-10 03:40:08,-2.5364,-57.76,76.62,83,44,3.09
153,Narsaq,GL,2022-11-10 03:39:00,60.9167,-46.05,34.02,86,100,2.37
154,Kashan,IR,2022-11-10 03:40:08,33.9831,51.4364,53.17,37,100,4.0
155,Coos Bay,US,2022-11-10 03:35:44,43.3665,-124.2179,40.98,99,0,4.61
156,Zemio,CF,2022-11-10 03:40:08,5.0314,25.1361,67.86,90,100,1.97
157,Catuday,PH,2022-11-10 03:40:09,16.2923,119.8062,83.53,68,75,5.41
158,Liverpool,GB,2022-11-10 03:40:09,53.4106,-2.9779,57.81,86,100,14.97
159,Bartica,GY,2022-11-10 03:40:09,6.4,-58.6167,73.72,99,84,1.92
160,Bengkulu,ID,2022-11-10 03:40:10,-3.8004,102.2655,80.92,77,99,3.44
161,Olden,NO,2022-11-10 03:40:10,61.8364,6.8064,50.11,98,98,8.88
162,Cherskiy,RU,2022-11-10 03:40:10,68.75,161.3,-3.03,97,100,8.59
163,Grand-Santi,GF,2022-11-10 03:40:10,4.25,-54.3833,72.03,99,83,1.92
164,Krasnoselkup,RU,2022-11-10 03:40:11,65.7,82.4667,-16.74,100,40,2.28
165,Kirakira,SB,2022-11-10 03:40:11,-10.4544,161.9205,82.85,81,100,6.71
166,Benjamin Hill,MX,2022-11-10 03:40:11,30.1667,-111.1,58.48,73,0,7.94
167,Tyazhinskiy,RU,2022-11-10 03:40:11,56.116,88.524,26.98,79,100,12.68
168,Saint-Philippe,RE,2022-11-10 03:37:23,-21.3585,55.7679,74.79,67,46,7.49
169,Margate,GB,2022-11-10 03:40:12,51.3813,1.3862,50.88,90,7,3.0
170,Puyang,CN,2022-11-10 03:40:12,29.4603,119.8861,79.57,57,0,2.08
