City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
101,Maues,BR,-3.3836,-57.7186,99.1,25,90,3.31,overcast clouds
102,Wanning,CN,18.8003,110.3967,75.43,80,98,3.47,overcast clouds
103,Saskylakh,RU,71.9167,114.0833,-29.74,100,86,1.72,overcast clouds
104,Sao Filipe,CV,14.8961,-24.4956,78.22,71,99,9.66,overcast clouds
105,Yellowknife,CA,62.456,-114.3525,23.56,80,100,24.16,light snow
106,Fossano,IT,44.5489,7.7201,57.18,100,100,3.44,mist
107,New Norfolk,AU,-42.7826,147.0587,51.3,72,100,1.01,overcast clouds
108,Dukat,RU,62.55,155.55,-10.8,99,100,3.89,light snow
109,Okahandja,NA,-21.9833,16.9167,68.2,25,0,16.04,clear sky
110,Itaituba,BR,-4.2761,-55.9836,95.16,43,20,10.36,few clouds
111,East London,ZA,-33.0153,27.9116,69.46,93,100,23.89,overcast clouds
112,Lodwar,KE,3.1191,35.5973,82.96,51,97,15.3,overcast clouds
113,San Andres,CO,12.5847,-81.7006,82.67,71,88,3.96,overcast clouds
114,Zachary,US,30.6485,-91.1565,79.7,38,0,5.12,clear sky
115,Hualmay,PE,-11.0964,-77.6139,69.42,71,29,10.6,scattered clouds
116,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,83,20,12.66,few clouds
117,Lavrentiya,RU,65.5833,-171.0,15.17,77,1,7.58,clear sky
118,Snezhnogorsk,RU,69.1933,33.2531,31.78,99,100,8.72,light snow
119,Ingham,US,42.6,-84.3833,64.87,66,0,6.91,clear sky
120,Poum,NC,-20.2333,164.0167,75.69,78,71,8.03,broken clouds
121,Mackay,AU,-21.15,149.2,64.69,72,1,4.97,clear sky
122,Castro,BR,-24.7911,-50.0119,59.04,94,100,4.18,overcast clouds
123,Korem,ET,12.5058,39.5228,56.23,59,32,6.35,scattered clouds
124,Busselton,AU,-33.65,115.3333,51.24,73,65,9.06,broken clouds
125,Ponta Do Sol,PT,32.6667,-17.1,69.71,85,59,1.9,broken clouds
126,Faanui,PF,-16.4833,-151.75,78.24,76,100,4.85,overcast clouds
127,Yarada,IN,17.65,83.2667,80.92,69,75,4.61,haze
128,Cayenne,GF,4.9333,-52.3333,87.84,62,0,10.36,clear sky
129,Ribeira Grande,PT,38.5167,-28.7,61.2,72,20,8.05,few clouds
130,Yinchuan,CN,38.4681,106.2731,40.44,59,100,1.52,overcast clouds
131,Shimoda,JP,34.6667,138.95,60.1,82,28,10.67,scattered clouds
132,Nanortalik,GL,60.1432,-45.2371,25.02,92,100,10.58,overcast clouds
133,Leh,IN,34.1667,77.5833,22.26,49,8,1.86,clear sky
134,Hofn,IS,64.2539,-15.2082,44.26,81,100,2.71,overcast clouds
135,Golfito,CR,8.639,-83.166,78.57,88,88,4.9,moderate rain
136,Chuy,UY,-33.6971,-53.4616,72.91,61,2,12.35,clear sky
137,Kargat,RU,55.1956,80.2811,27.99,96,95,9.51,overcast clouds
138,Mwinilunga,ZM,-11.7358,24.4293,62.64,96,100,3.51,overcast clouds
