City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Viedma,AR,69.13,moderate rain,-40.8135,-62.9967,Hotel Cristal
266,Kavieng,PG,82.38,light rain,-2.5744,150.7967,Nusa Island Retreat
268,Naze,JP,72.52,light rain,28.3667,129.4833,Shishime Hotel
270,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
272,Tabou,CI,77.45,overcast clouds,4.423,-7.3528,hotêl doufoulougou
273,Atar,MR,81.27,overcast clouds,20.5169,-13.0499,Oumou Elghoura
275,Aden,YE,79.41,clear sky,12.7794,45.0367,Sama Emirate Hotel
276,Lompoc,US,69.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
281,Tarakan,ID,80.49,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
283,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
284,Bubaque,GW,83.46,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
285,Christiana,ZA,66.74,broken clouds,-27.914,25.1611,At-Neli Guesthouse
289,Karratha,AU,72.81,clear sky,-20.7377,116.8463,ibis Styles Karratha
290,Sampit,ID,73.85,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
292,Juegang,CN,67.91,clear sky,32.3174,121.1855,Rudong Y Hotel
293,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
295,Gigmoto,PH,80.02,overcast clouds,13.7796,124.39,Cj's Travellers Inn
302,Ewa Beach,US,79.02,broken clouds,21.3156,-158.0072,Base Lodging
310,Vanimo,PG,77.09,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
312,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
314,Lorengau,PG,80.28,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
315,Dunmore Town,BS,81.41,overcast clouds,25.5,-76.65,Coral Sands Hotel
316,Nishihara,JP,76.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
319,Mercedes,AR,89.85,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
320,Fukue,JP,69.8,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
321,Namibe,AO,66.88,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
324,Manoel Urbano,BR,88.14,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
327,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
334,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
335,Lafia,NG,82.72,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
338,Roebourne,AU,73.8,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
339,Coro,VE,82.92,overcast clouds,11.4045,-69.6734,Federal
341,Petapa,GT,78.15,scattered clouds,14.5028,-90.5517,La Visión del Espíritu Santo
342,Hithadhoo,MV,80.85,overcast clouds,-0.6,73.0833,Scoop Guest House
344,Bardiyah,LY,66.25,few clouds,31.7561,25.0865,بورتو بردية
349,Camocim,BR,85.33,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
352,Bembereke,BJ,83.82,overcast clouds,10.2283,2.6634,Hotel Bio Guera
353,Banda Aceh,ID,75.92,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
354,Yichang,CN,70.54,overcast clouds,30.7144,111.2847,Gezhouba Hotel
358,San Javier,ES,69.98,few clouds,37.8063,-0.8374,Hotel Mar Menor
359,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
361,Domoni,KM,76.3,clear sky,-12.2569,44.5319,Al Djadid
362,Manicore,BR,89.55,thunderstorm,-5.8092,-61.3003,Hotel Durval
364,Sibiti,CG,69.15,broken clouds,-3.6819,13.3499,Gaby et confort
367,Alyangula,AU,82.49,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
369,Sao Luis Do Quitunde,BR,81.84,scattered clouds,-9.3183,-35.5611,Sao dos satos lins
371,Lazaro Cardenas,MX,84.51,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
375,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
376,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
377,Alor Setar,MY,78.98,few clouds,6.121,100.3601,Hotel ASRC
378,Gushikawa,JP,76.62,broken clouds,26.3544,127.8686,Kirari Guest House
380,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
381,Yulara,AU,77.92,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
382,Dingle,PH,76.08,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
384,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Alize Plage
386,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
387,Sur,OM,77.41,clear sky,22.5667,59.5289,Sur Plaza Hotel
388,Buin,CL,69.12,overcast clouds,-33.7333,-70.75,Paihuen
389,Cap Malheureux,MU,71.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
391,Riohacha,CO,86.11,broken clouds,11.5444,-72.9072,Hotel Taroa
394,Bethel,US,65.48,moderate rain,41.3712,-73.414,Courtyard by Marriott Danbury
395,Sal Rei,CV,79.0,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
396,Asyut,EG,68.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
397,Imbituba,BR,68.25,light rain,-28.24,-48.6703,Praia Hotel Imbituba
402,Maragogi,BR,80.71,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
407,Omboue,GA,77.2,light rain,-1.5746,9.2618,Hotel Olako
410,Mayo,US,72.5,haze,38.8876,-76.5119,Resorts Resource Group International
414,Necochea,AR,68.68,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
415,Majene,ID,78.06,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
417,Loandjili,CG,76.77,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
423,Zhuhai,CN,74.98,clear sky,22.2769,113.5678,珠海粤财假日酒店
424,Matay,EG,67.91,clear sky,28.419,30.7792,Nag Aespen
428,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
430,Broken Hill,AU,71.35,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
434,Tazmalt,DZ,66.34,overcast clouds,36.3868,4.3989,Hôtel Numédia
435,Bima,ID,77.58,overcast clouds,-8.4667,118.7167,Lambitu Hotel
441,Salvador,SV,79.2,scattered clouds,13.8333,-88.9167,Chico's Ranch
443,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
444,Mount Isa,AU,71.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
446,Cape Canaveral,US,88.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
452,Harper,LR,77.65,overcast clouds,4.375,-7.7169,Screensaver
453,Saint-Leu,RE,72.46,light rain,-21.15,55.2833,La Caz Oceane
458,Morehead,US,68.99,clear sky,37.2711,-87.1764,CCI Express Inn
460,Bushehr,IR,80.69,broken clouds,28.9684,50.8385,Yas Hotel
461,Tamandare,BR,80.98,few clouds,-8.7597,-35.1047,Pousada 100 Passos
462,Manzanillo,CU,84.42,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
